name,longitude,latitude,id,price
0,0,0,1,0
0,0,0,2,0
0,0,0,3,3.871794871794872
0,0,0,4,0
0,0,0,5,2.5004941659892106
0,0,0,6,0
0,0,0,7,0
0,0,0,8,67.46739377026493
0,0,0,9,9.999934336208486
0,0,0,10,7.6298788826569535
0,0,0,11,80.23292926240488
0,0,0,12,404.42995243447336
0,0,0,13,0
0,0,0,14,24.175056562324368
0,0,0,15,14.886491549149309
0,0,0,16,32.786592353753065
0,0,0,17,0
0,0,0,18,17.295606175503405
0,0,0,19,94.16196481957289
0,0,0,20,166.99525867246263
0,0,0,21,670.2451856332467
0,0,0,22,86.55701048081522
0,0,0,23,233.12584505660104
0,0,0,24,0
0,0,0,25,700.0158330421435
0,0,0,26,235.50000890653814
0,0,0,27,91.04398482143327
0,0,0,28,730.3518785714662
0,0,0,29,0
